Aachen Bischöfliches Diözesanarchiv
Bergamo Biblioteca «Mons. G. M. Radini Tedeschi» (olim Biblioteca del Clero di S. Alessandro in Colonna)
Bergues Médiathèque Marguerite Brébant (olim Bibliothèque Municipale)
Berlin Geheimes Staatsarchiv Preußischer Kulturbesitz
Berlin Kupferstichkabinett der Staatlichen Museen (zu Berlin - Preußischer Kulturbesitz)
Berlin Staatsbibliothek zu Berlin - Preußischer Kulturbesitz
Bern Universitätsbibliothek. Burgerbibliothek (Bibliotheca Bongarsiana)
Bernkastel-Kues Bibliothek des St. Nikolaus-Hospitals
Beromünster Stiftsbibliothek
Besançon Bibliothèque Grammont et Archives Historiques du Diocèse de Besançon
Besançon Bibliothèque Municipale d'Etudes et de Conservation
Beuron Bibliothek der Benediktiner-Erzabtei
Bibbiena (Arezzo) Archivio storico comunale
Bielefeld Bibliothek des Ratsgymnasiums
Bielefeld Landeskirchliche Archiv
Birmingham Public Library
Birmingham University Library
Bologna Archivio Isolani
Bologna Archivio Storico della Provincia di Cristo Re dei frati Minori dell'Emilia Romagna
Bologna Archivio di Stato
Bologna Biblioteca Albornoziana del Real Collegio di Spagna
Bologna Biblioteca Arcivescovile
Bologna Biblioteca Comunale dell'Archiginnasio
Bologna Biblioteca Comunale dell'Archiginnasio (olim Biblioteca Municipale)
Bologna Biblioteca Patriarcale di San Domenico
Bologna Biblioteca Universitaria
Bologna Biblioteca del Convento di San Paolo in Monte (dell'Osservanza)
Bologna Biblioteca del Convento di Sant'Antonio
Bologna Istituto Ortopedico Rizzoli
Bologna Museo Internazionale e Biblioteca della Musica
Bolzano/Bozen Biblioteca dei Padri Francescani/Franziskanerkloster
Bonn Universitäts- und Landesbibliothek
Bordeaux Archives Départementales de la Gironde
Bordeaux Bibliothèque Municipale
Borgomanero (Novara) Biblioteca Pubblica e Casa della cultura
Boulogne-sur-Mer Bibliothèque des Annonciades (olim Bibliothèque Municipale)
Bourg-en-Bresse Archives Départementales de l'Ain
Bourg-en-Bresse Médiathèque Elisabeth et Roger Vailland (olim Bibliothèque Municipale)
Bourges Bibliothèque Municipale
Braga Biblioteca Pública e Arquivo Distrital
Brailes Presbytery Library
Brandenburg Bibliothek der Ritterakademie
Brandenburg Domstiftsarchiv
Braniewo Archiwum Panstwowe
Bratislava Archív Hlavného Mesta Bratislavy
Bratislava Slovenský Národný Archív. Kapitulská Kniznica
Bratislava Státny Slovensky ústredny Archív
Bratislava Ústredná Kniznica Slovenskej Akadémie Vied
Braunschweig Stadtarchiv und Stadtbibliothek
Braunschweig Stift St. Blasien
Bremen Staats- und Universitätsbibliothek
Bremen Staats- und Universitätsbibliothek msa
Brescia Biblioteca Civica Queriniana
Brescia Università Cattolica del Sacro Cuore
Bressanone/Brixen (Bolzano/Bozen) Biblioteca dello Studio Teologico-Accademico
Bressanone/Brixen (Bolzano/Bozen) Convento delle Clarisse/Klarissenkloster
Brighton East Sussex Country Council Library
Brindisi Biblioteca Pubblica Arcivescovile «Annibale de Leo»
Bristol Bristol Record Office
Bristol Public Library
Brno Archiv Mesta Brna
Brno Moravská Zemská Knihovna (olim Státní Vedecká Knihovna - Universitní Knihovna)
Brno Moravský Zemský Archiv v Brne (olim Státní Oblastní Archiv v Brne)
Brugge Bisschoppelijke Bibliotheek
Brugge Grootseminarie
Brugge Hoofdbibliotheek Biekorf (Stadsbibliotheek)
Bruxelles Archives Générales du Royaume
Bruxelles Bibliothèque Royale «Albert Ier»
Bruxelles KBR (olim Bibliothèque Royale «Albert Ier»)
Bruxelles Maison d'Erasme
Bruxelles Société des Bollandistes
Budapest Eötvös Loránd Tudományegyetem
Budapest Központi Papnevelö Intézet Könyvtár (Bibliotheca Seminarii Cleri Hungariae Centralis)
Budapest Magyar Országos Levéltár
Budapest Magyar Tudományos Akadémia Könyvtára
Budapest Országos Széchényi Könyvtár
Buenos Aires Biblioteca Nacional
Buffalo The Library of the Buffalo Historical Society
Burgo de Osma Archivo Biblioteca de la Santa Iglesia Catedral
Burgos Archivo y Biblioteca Capitular
Burgsteinfurt Fürst zu Bentheimsche Schlossbibliothek
Burgsteinfurt Gymnasium Arnoldinum
Busto Arsizio (Varese) Biblioteca Capitolare della Basilica di San Giovanni Battista
Bösensell Haus Ruhr
Bückeburg Niedersächsisches Staatsarchiv Depot
Büren Archiv Schloß Erpernburg
Caen Archives Départementales du Calvados
Caen Bibliothèque de la Communauté d'Agglomération de Caen la Mer. Bibliothèque Centre-Ville (olim Bibliothèque Municipale)
Caen Musée des Beaux-Arts (Collection Mancel)
Cagliari Biblioteca Comunale Generale e di Studi Sardi
Cagliari Biblioteca Universitaria
Cahors Bibliothèque Patrimoniale et de Recherche du Grand Cahors (olim Bibliothèque Municipale)
Calahorra Archivo Capitular de la Catedral
Caldaro/Kaltern (Bolzano/Bozen) Convento dei Francescani/Franziskanerkloster
Camaldoli (Arezzo) Monastero di Camaldoli. Biblioteca
Cambrai Médiathèque Municipale (olim Bibliothèque Municipale)
Cambridge Christ's College
Cambridge Clare College
Cambridge Corpus Christi College
Cambridge Emmanuel College
Cambridge Fitzwilliam Museum
Cambridge Gonville and Caius College
Cambridge Jesus College
Cambridge King's College
Cambridge Magdalene College
Cambridge Newnham College
Cambridge Pembroke College (in deposito presso la University Library)
Cambridge Peterhouse
Cambridge Queens' College
Cambridge Saint Catharine's College
Cambridge Saint John's College
Cambridge Sidney Sussex College
Cambridge Trinity College
Cambridge Trinity Hall
Cambridge University Library
Camerino (Macerata) Archivio di Stato
Camerino (Macerata) Biblioteca Comunale Valentiniana
Canterbury Cathedral Archives
Canterbury Cathedral and Chapter Library
Cape Town South African Public Library
Carcassonne Archives Départementales de l'Aude
Carcassonne Bibliothèque Municipale
Cardiff Public Library
Carmen de incendio Sancti Amandi Elnonensis
Carpentras Bibliothèque Inguimbertine (olim Bibliothèque Municipale)
Casale Monferrato (Alessandria) Biblioteca del Seminario Vescovile
Cashel G.P.A. Bolton Library
Castiglion Fiorentino (Arezzo) Biblioteca Comunale
Castiglione del Terziere (Massa-Carrara) Biblioteca del Castello (Biblioteca privata di L.J. Bononi)
Catania Archivio Storico Diocesano
Catania Biblioteca Regionale Universitaria
Catania Biblioteche Riunite «Civica» e «A. Ursino Recupero»
Cava de' Tirreni (Salerno) Archivio e Biblioteca della Badia
Celle Bibliothek des Oberlandesgerichts
Cesena (Forlì-Cesena) Biblioteca Comunale Malatestiana
Ceské Budejóvice Státní Vedecká Knihovna
Chalon-sur-Saône Bibliothèque Municipale
Chambéry Archives Départementales de la Savoie
Chambéry Médiathèque Jean-Jacques Rousseau (olim Bibliothèque Municipale)
Chantilly Bibliothèque et Archives du Château
Charleville-Mézières Médiathèque Voyelles (olim Bibliothèque Municipale)
Chartres Médiathèque «L'Apostrophe» (olim Bibliothèque Municipale)
Chelles Musée de Chelles
Cheltenham (olim) Collection Phillipps
Cheltenham Collection
Chester Chester Cathedral Library
Chiari (Brescia) Biblioteca Morcelliana
Chichester Diocesan Record Office
Chieti Biblioteca Capitolare
Christina Stumbelensis virgo OP
Chronica de rebus Brixianorum tam sacris quam civilibus ab urbis exordio
Chur/Coira Rätisches Museum
Chur/Coira Staatsarchiv Graubünden
Châlons-en-Champagne (olim Châlons-sur-Marne) Archives Départementales de la Marne
Châlons-en-Champagne (olim Châlons-sur-Marne) Bibliothèque Municipale Georges Pompidou
Château-Gontier Bibliothèque municipale
Châtillon (Aosta) Biblioteca del Convento dei Cappuccini
Cieszyn Ksiaznica Cieszynska
Città del Vaticano Archivio Segreto Vaticano
Città del Vaticano Archivio dell'Ufficio delle Celebrazioni Liturgiche del Sommo Pontefice
Città del Vaticano Archivio della Basilica papale di Santa Maria Maggiore
Città del Vaticano Archivio della Congregazione per la Dottrina della Fede
Città del Vaticano Biblioteca Apostolica Vaticana
Cividale del Friuli (Udine) Museo Archeologico Nazionale
Clermont-Ferrand Bibliothèque du Patrimoine (olim Bibliothèque Municipale et Interuniversitaire)
Clervaux Bibliothèque de l'Abbaye Saint-Maurice
Coburg Landesbibliothek
Coimbra Biblioteca Geral da Universidade
Colmar Archives Départementales du Haut-Rhin
Colmar Bibliothèque Municipale
Cologny (Genève/Genf) Bibliotheca Bodmeriana (Fondation Martin Bodmer)
Commentarium in librum quintum Decretalium
Commentarius de Genuensium maritima classe in Barchinonenses expedita anno
Como Biblioteca Comunale
Como Biblioteca del Seminario Vescovil
Como Biblioteca della Società Storica Comense
Como Centro Studi Nicolò Rusca
Conches-en-Ouche Musée du verre
Conegliano Veneto Archivio Comunale busta
Conques Bibliothèque de l'Abbaye
Continuatio commentarii Thomae Waleys in Sancti Augustini De civitate Dei
Correggio (Reggio Emilia) Biblioteca Comunale
Cortona (Arezzo) Archivio Storico del Comune
Cortona (Arezzo) Archivio del Convento di S. Margherita
Cortona (Arezzo) Biblioteca Comunale e dell'Accademia Etrusca
Courtrai Bibliothèque Publique de la Ville
Crema (Cremona) Biblioteca Comunale
Cremona Archivio Storico Diocesano
Cremona Archivio di Stato
Cremona Biblioteca Statale (olim Biblioteca Governativa e Libreria Civica)
Córdoba Archivio Catedralicio y Biblioteca del Cabildo
Córdoba Biblioteca Pública
Damasco Grande Moschea
Darmstadt Hessisches Staatsarchiv
Darmstadt Universitäts- und Landesbibliothek (olim Hessische Landes- und Hochschulbibliothek)
De admirabili terremotu qui in regno Neapolitano accidit anno Christi
De rebus praesertim ecclesiasticis ab anno
De statu civitatis Mutinae anno Domini
Dessau Anhaltische Landesbücherei (olim Stadtbibliothek)
Detmold Lippische Landesbibliothek
Deventer Stadsarchief en Athenaeumbibliotheek
Dijon Archives Départementales de la Côte-d'Or
Dijon Bibliothèque Municipale
Dillingen Studienbibliothek
Disentis Stiftsbibliothek
Dole Médiathèque du Grand Dole (olim Bibliothèque Municipale)
Dominicus ordinis Praedicatorum fundator
Dortmund Stadt- und Landesbibliothek
Douai Bibliothèque Marceline Desbordes-Valmore (olim Bibliothèque Municipale)
Downside Abbey Monastic Library and Archives
Dresden Sekundogeniturbibliothek (olim)
Dresden Sächsische Landesbibliothek
Dublin Chester Beatty Library
Dublin Jesuits' Library
Dublin Marsh's Library
Dublin National Library of Ireland
Dublin Royal Irish Academy
Dublin Trinity College
Dublin University College
Dubrovnik Biblioteka Samostana Male Brace
Dubrovnik Dominikanski Samostan
Dubrovnik Naucna Biblioteka
Duisburg Stadtarchiv
Dunedin University of Otago Library
Durham University Library
Düsseldorf Landesarchiv Nordrhein-Westfalen
Düsseldorf Landesarchiv Nordrhein-Westfalen. Abteilung Rheinland
Düsseldorf Nordrhein-Westfälisches Hauptstaatsarchiv
Düsseldorf Städtisches Kunstmuseum
Düsseldorf Universitäts- und Landesbibliothek
Ebstorf Bibliothek des Klosters
Edinburgh National Library of Scotland
Edinburgh Royal Observatory
Edinburgh University Library
Eger Föegyházmegyei Könyvtár
Eichstätt Diözesanarchiv - Ordinariatsbibliothek
Eichstätt Universitätsbibliothek (olim Staatliche und Seminarbibliothek)
Einsiedeln Stiftsbibliothek
Eisleben Turm- und Kirchenbibliothek St. Andreae
El Escorial Real Biblioteca de San Lorenzo de El Escorial
Elblag Wojewódzka i Miejska Biblioteka Publiczna im. Cypriana Norwida Quart
Elverum Folkebiblioteket
Emden Bibliothek der Großen Kirche
Emmerich Stadtarchiv
Empoli (Firenze) Biblioteca Comunale Renato Fucini
Engelberg Stiftsbibliothek
Enna Biblioteca Comunale
Epernay Médiathèque (olim Bibliothèque Municipale)
Epinal Bibliothèque Multimédia Intercommunale Epinal-Goldbey (olim Bibliothèque Municipale)
Epistola ad civem quendam Norimbergensem
Epistola praefatoria ad articulos condemnatos anno
Epistolae ad Franciscum Petrarcam
Erfurt Domarchiv und Bibliothek
Erfurt Wissenschaftliche Allgemeinbibliothek (in deposito presso la Universitätsbibliothek)
Erlangen Universitätsbibliothek Erlangen-Nürnberg
Essen Domschatzkammer (olim Münsterarchiv)
Essen-Werden Propsteiarchiv St. Ludgerus
Esztergom Föszékesegyházi Könyvtár
Eton Eton College Library
Evreux Médiathèque Centrale (olim Bibliothèque Municipale)
Exeter Cathedral (Chapter) Library
Exhortatio in Capitulo generali
Fabriano (Ancona) Biblioteca Pubblica Romualdo Sassi (olim Biblioteca Comunale)
Faenza (Ravenna) Archivio e Biblioteca Capitolare
Faenza (Ravenna) Biblioteca Comunale
Falconara Marittima (Ancona) Biblioteca Storico-Francescana e Picena dei Minori delle Marche
Fano (Pesaro-Urbino) Archivio Storico Diocesano
Fano (Pesaro-Urbino) Biblioteca Comunale Federiciana
Farfa (Rieti) Biblioteca del Monumento Nazionale (Abbazia)
Fermo Biblioteca Civica Romolo Spezioli
Ferrara Archivio del Capitolo della Cattedrale
Ferrara Biblioteca Comunale Ariostea
Fiecht bei Schwaz Stiftsbibliothek der Benediktinerabtei Sankt Georgenberg-Fiecht
Fiesole (Firenze) Archivio Vescovile
Figéac Musée Champollion
Firenze Accademia Toscana di Scienze e Lettere «La Colombaria»
Firenze Accademia della Crusca
Firenze Archivio Guicciardini
Firenze Archivio del Convento di Santa Maria Novella
Firenze Archivio di Stato
Firenze Biblioteca Boffito del Collegio alla Querce
Firenze Biblioteca Marucelliana
Firenze Biblioteca Medicea Laurenziana
Firenze Biblioteca Moreniana
Firenze Biblioteca Nazionale Centrale
Firenze Biblioteca Provinciale dei Cappuccini
Firenze Biblioteca Provinciale dei Frati Minori
Firenze Biblioteca Riccardiana
Firenze Biblioteca Venturi Ginori Lisci
Firenze Biblioteca del Seminario Arcivescovile Maggiore
Firenze Biblioteca della Società Dantesca Italiana
Firenze Galleria degli Uffizi
Firenze Museo Horne
Firenze Museo di San Marco
Firenze Università degli Studi
Fischbach (Nürnberg) Familien-Archiv und Bibliothek der Freiherren von Scheurl
Foix Médiathèque Municipale (olim Bibliothèque Municipale)
Foligno (Perugia) Biblioteca Comunale
Foligno (Perugia) Biblioteca Jacobilli (del Seminario Vescovile)
Forlì (Forlì-Cesena) Biblioteca Comunale «Aurelio Saffi»
Frankfurt a.M. Stadt- und Universitätsbibliothek
Frauenfeld Archiv der Bürgergemeinde
Frauenfeld Thurgauische Kantonsbibliothek
Freiberg (Sachsen) Andreas-Möller-Bibliothek des Geschwister-Scholl-Gymnasiums
Freiburg i.Br. Erzbischöfliches Archiv
Freiburg i.Br. Stadtarchiv
Freiburg i.Br. Universitätsbibliothek
Fribourg (Suisse) Bibliothèque Cantonale et Universitaire
Fribourg (Suisse) Couvent des PP. Cordeliers
Fritzlar Dombibliothek
Fréjus Médiathèque Villa Marie (olim Bibliothèque Municipale)
Fulda Bibliothek des Bischöflichen Priesterseminars
Fulda Hessische Landesbibliothek
Fécamp Musée de la Bénédictine
Gandersheim Stiftsbibliothek
Gdansk Biblioteka Gdanska Polskiej Akademii Nauk
Gdansk Wojewódzkie Archiwum Panstwowe
Genova Archivio Capitolare di San Lorenzo
Genova Archivio Storico Comunale
Genova Archivio di Stato
Genova Biblioteca Civica «Berio»
Genova Biblioteca Durazzo
Genova Biblioteca Franzoniana
Genova Biblioteca Universitaria
Genova Biblioteca delle Missioni Urbane
Gent Bibliotheek van het Kapittel van de St. Baafskathedraal (Bisschoppelijke Bibliotheek
Gent Bibliotheek van het Kapittel van de St. Baafskathedraal (Bisschoppelijke Bibliotheek)
Gent Centrale Bibliotheek der Rijksuniversiteit
Genève Bibliothèque de Genève (olim Bibliothèque Publique et Universitaire)
Gerusalemme The National Library of Israel (olim Beit Ha-Sfarim Ha-Le'umi ve-Ha-Universita'i)
Gießen Universitätsbibliothek
Girona Arxiu Capitular i Biblioteca Auxiliar
Girona Arxiu Diocesà i Biblioteca Diocesana del Seminari
Girona Biblioteca Pública Provincial (Biblioteca Tomàs de Lorenzana)
Girona Collegiata de Sant Feliu (in dep. presso l'Arxiu Diocesà i Biblioteca Diocesana del Seminari)
Girona Museu d'Art (Museu Diocesà)
Girona Tresor de la Catedral
Glasgow University Library
Gloucester Cathedral Library
Gloucester Gloucester City Library
Gniezno Archiwum Archidiecezjalne i Biblioteka Kapitulna
Gniezno Biblioteka Seminarium Duchownego i Kapituly Katedralnej
Goch-Gaesdonck Collegium Augustinianum (Klosterbibliothek)
Gorizia Biblioteca Civica
Gorizia Biblioteca del Seminario Teologico
Gotha Forschungs- und Landesbibliothek (olim Forschungsbibliothek)
Gouda Stedelijke Librije
Granada Biblioteca Universitaria
Grande-Chartreuse Archives du Monastère
Gravenhage 's Koninklijke Bibliotheek
Gravenhage 's Museum Meermanno-Westreenianum
Graz Universitätsbibliothek
Graz Zentralbibliothek der Wiener Franziskanerprovinz
Greenwich National Maritime Museum
Greifswald Bibliothek des Geistlichen Ministeriums (Dombibliothek St. Nikolai)
Greifswald Universitätsbibliothek
Grenoble Archives Départementales de l'Isère. Centre Jean Berthoin
Grenoble Bibliothèque Municipale
Groningen Bibliotheek der Rijksuniversiteit
Grosseto Biblioteca Comunale Chelliana
Grottaferrata (Roma) Biblioteca Statale del Monumento Nazionale della Badia Greca di San Nilo (Monastero Esarchico di Santa Maria)
Grottaferrata (Roma) Collegio Internazionale di san Bonaventura
Gubbio (Perugia) Archivio di Stato
Gyöngyös Magyar Ferences Könyvtár Gyöngyösi Muemlék Könyvtára
Györ Egyházmegyei Kincstár és Könyvtár
Györ Xántus János Múzeum
Görlitz Oberlausitzische Bibliothek der Wissenschaften
Görlitz Stadtarchiv und Bibliothek (olim Milich'sche Bibliothek)
Göteborg Röhsska Museum
Göteborg Stadsbiblioteket
Göteborg Universitetsbibliotek
Göttingen Niedersächsische Staats- und Universitätsbibliothek
Göttingen Stadtarchiv
Göttweig Bibliothek des Benediktinerstifts
Haarlem Bisschoppelijk Museum
Haarlem Stadsbibliotheek en Leeszal
Halberstadt Domgymnasium
Halberstadt Historisches Stadtarchiv
Hall in Tirol Bibliothek der Franziskaner
Halle a.d. Saale Universitäts- und Landesbibliothek Sachsen-Anhalt der Martin-Luther-Universität Halle-Wittenberg
Hamburg Staats- und Universitätsbibliothek
Hannover Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek
Hannover Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek Noviss
Hannover Kestner-Museum
Hannover Niedersächsisches Hauptstaatsarchiv
Hannover Stadtbibliothek
Hasselt Rijksarchief
Hatfield House (Hertfordshire) Library of Lord Salisbury
Heidelberg Universitätsbibliothek
Heidelberg Universitätsbibliothek ISansepolcro (Arezzo)
Heilbronn Stadtarchiv
Heiligenkreuz Bibliothek des Zisterzienserstifts
Heiligenkreuz Stiftsarchiv
Helsinki Kansalliskirjasto (olim Yliopiston Kirjasto)
Hereford Cathedral Library
Herrnstein Bibliothek des Grafen Nesselrode
Herzogenburg Stiftsbibliothek
Heverlee Archief van de Vlaamse jezuïeten
Hildesheim Dombibliothek (olim Beverin'sche Bibliothek)
Hildesheim Stadtarchiv
Himmerod Bibliothek der Zisterzienserabtei
Historia susceptionis coronae spineae Iesu Christi quam Ludovicus a Balduino
Hobart University of Tasmania Library
Homiliae e codice Tarragona
Huesca Archivo de la Catedral
Huesca Biblioteca Capitular
Ilarione di Gaza abate
Imola (Bologna) Biblioteca Comunale
Imola (Bologna) Biblioteca Comunale Aula magna
In Matthaeum homiliae
Innsbruck Tiroler Landesarchiv
Innsbruck Tiroler Landesmuseum Ferdinandeum
Innsbruck Universitäts- und Landesbibliothek Tirol (olim Universitätsbibliothek)
Intra (Verbano-Cusio-Ossola) Archivio e Biblioteca Capitolare di San Vittore
Ipswich Ipswich Public Library
Isny im Allgäu Bibliothek der Evangelischen Nikolaikirche
Isola Bella (Verbano-Cusio-Ossola) Archivio e Biblioteca Borromeo
Iudicium Astronomicum Viennense anni
Iudicium super cometem
Ivrea (Torino) Biblioteca Capitolare
Jaca Archivo de la Catedral
Jauernick Pfarrei St. Wenzeslaus
Jena Thüringer Universitäts- und Landesbibliothek
Jerez de la Frontera Biblioteca Municipal
Jesi (Ancona) Biblioteca Comunale Planettiana
Jihlava Státní Okresní Archiv
Kaliningrad (Königsberg) Kaliningradskaja Oblastnaja Biblioteka (Staats- und Universitätsbibliothek; olim Königliche Bibliothek)
Kalocsa Föszékesegyházi Könyvtár
Karlsruhe Badische Landesbibliothek
Kassel Landeskirchliches Archiv
Kassel Universitätsbibliothek Kassel - Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel
Katowice Biblioteka Slaska
Kempen Propsteiarchiv
Kezmarok Lyceàlnà Kniznica
Kiel Universitätsbibliothek
Kiel Universitätsbibliothek Cat. Pechlin
Kitzingen Stadtarchiv
Klagenfurt Archiv der Diözese Gurk (Bischöfliche Mensalbibliothek)
Klagenfurt Kärntner Landesarchiv
Klagenfurt Universitätsbibliothek (olim Studienbibliothek)
Klosterlechfeld Franziskanerbibliothek
Klosterneuburg Bibliothek des Augustiner Chorherrenstiftes
Klosterneuburg Stiftsarchiv
Koblenz Landeshauptarchiv (olim Staatsarchiv)
Koblenz Stadtbibliothek
Koblenz Stadtbibliothek Rara
Konstanz Bibliothek des Heinrich-Suso-Gymnasiums
Konstanz Stadtarchiv
Korcula Opatska Zbirka
Kosice Biskupská kniznica
Kraków Archiwum Kapituly Metropolitalnej Krakowskiej
Kraków Archiwum OO. Dominikanów
Kraków Archiwum Universytetu Jagellonskiego
Kraków Biblioteka Instytutu Teologicznego Ksiezy Misjonarzy
Kraków Biblioteka Jagiellonska
Kraków Biblioteka Muzeum Narodowego w Krakowie
Kraków Biblioteka Polskiej Akademii Nauk
Kremnica Farská Kniznica
Kremnica Miestne Pracovisko Matice Slovenskej
Kremsmünster Stiftsbibliothek
Krivoklát Krivoklásta Knihovna (Zámecká Knihovna)
Kórnik Biblioteka Kórnicka Polskiej Akademii Nau
Kórnik Biblioteka Kórnicka Polskiej Akademii Nauk
Köln Erzbischöfliche Diözesan- und Dombibliothek
Köln Erzbischöfliche Diözesan- und Dombibliothek. Bibliothek St. Albertus Magnus
Köln Historisches Archiv der Stadt Köln (Stadtarchiv)
Köln Kirchenverband der Evangelischer Gemeinden
Köln Museum für Angewandte Kunst
Köln Universitäts- und Stadtbibliothek
København Det Arnamagnaeanske Institut
København Kongelige Bibliotek
København Rigsarkivet
L'Aquila Archivio Civico Aquilano
L'Aquila Archivio Diocesano Aquilano 1 «Codice Celestiniano»
L'Aquila Archivio di Stato
L'Aquila Biblioteca Provinciale «Salvatore Tommasi»
